Image,ASM-1-0,energy-1-0,homogeneity-1-0,dissimilarity-1-0,ASM-1-45,energy-1-45,homogeneity-1-45,ASM-1-90,energy-1-90,homogeneity-1-90,ASM-1-135,energy-1-135,homogeneity-1-135,ASM-2-0,energy-2-0,ASM-2-45,energy-2-45,ASM-2-90,energy-2-90,ASM-2-135,energy-2-135,homogeneity-2-135,ASM-3-0,energy-3-0,homogeneity-3-0,dissimilarity-3-0,ASM-3-45,energy-3-45,homogeneity-3-45,dissimilarity-3-45,ASM-3-90,energy-3-90,homogeneity-3-90,dissimilarity-3-90,ASM-3-135,energy-3-135,homogeneity-3-135,output
/content/gdrive/My Drive/Colab Notebooks/feature/14-4-rs.jpg,0.80468402,0.89704182,0.53464826,0.94017094,0.8114082,0.90078199,0.53477975,0.8114082,0.90078199,0.53477975,0.8114082,0.90078199,0.53477975,0.7943064,0.89123869,0.80149915,0.89526485,0.80149915,0.89526485,0.8114082,0.90078199,0.53477975,0.79800825,0.89331307,0.53451677,0.94148586,0.80607416,0.89781633,0.53642341,0.9355687,0.80607416,0.89781633,0.53642341,0.9355687,0.8114082,0.90078199,0.53477975,0
/content/gdrive/My Drive/Colab Notebooks/feature/15-1-rs.jpg,0.85890455,0.92677103,0.53708087,0.92636423,0.86666961,0.93095091,0.53425378,0.86666961,0.93095091,0.53425378,0.86666961,0.93095091,0.53425378,0.86338273,0.9291839,0.86459996,0.92983868,0.86459996,0.92983868,0.86666961,0.93095091,0.53425378,0.86788857,0.93160537,0.53445102,0.93162393,0.87006455,0.93277251,0.53326759,0.93425378,0.87006455,0.93277251,0.53326759,0.93425378,0.86666961,0.93095091,0.53425378,0
/content/gdrive/My Drive/Colab Notebooks/feature/15-2-rs.jpg,0.95128123,0.97533647,0.51249178,0.97501644,0.94754135,0.97341735,0.51347798,0.94754135,0.97341735,0.51347798,0.94754135,0.97341735,0.51347798,0.94629818,0.97277859,0.95253132,0.97597711,0.95253132,0.97597711,0.94754135,0.97341735,0.51347798,0.95378313,0.97661821,0.51183432,0.97633136,0.95253132,0.97597711,0.51216305,0.9756739,0.95253132,0.97597711,0.51216305,0.9756739,0.94754135,0.97341735,0.51347798,0
/content/gdrive/My Drive/Colab Notebooks/feature/15-3-rs.jpg,0.65841878,0.81143008,0.59769888,0.80933596,0.64216248,0.80135041,0.6035503,0.64216248,0.80135041,0.6035503,0.64216248,0.80135041,0.6035503,0.65639582,0.81018258,0.65564023,0.80971614,0.65564023,0.80971614,0.64216248,0.80135041,0.6035503,0.65114304,0.80693435,0.6034188,0.79684418,0.65184675,0.80737027,0.60118343,0.80210388,0.65184675,0.80737027,0.60118343,0.80210388,0.64216248,0.80135041,0.6035503,0
/content/gdrive/My Drive/Colab Notebooks/feature/15-4-rs.jpg,0.7254099,0.85170998,0.57731755,0.84746877,0.71394645,0.84495352,0.58159106,0.71394645,0.84495352,0.58159106,0.71394645,0.84495352,0.58159106,0.70360342,0.83881072,0.70596527,0.84021739,0.70596527,0.84021739,0.71394645,0.84495352,0.58159106,0.7109172,0.84315906,0.58152531,0.83957922,0.71005096,0.84264522,0.58185404,0.83892176,0.71005096,0.84264522,0.58185404,0.83892176,0.71394645,0.84495352,0.58159106,0
/content/gdrive/My Drive/Colab Notebooks/feature/16-1-rs.jpg,0.80242937,0.89578422,0.54648258,0.9112426,0.79828316,0.89346693,0.5477975,0.79828316,0.89346693,0.5477975,0.79828316,0.89346693,0.5477975,0.79313931,0.89058369,0.80555718,0.89752837,0.80555718,0.89752837,0.79828316,0.89346693,0.5477975,0.79109387,0.88943458,0.55009862,0.90401052,0.79416462,0.89115915,0.54911243,0.90598291,0.79416462,0.89115915,0.54911243,0.90598291,0.79828316,0.89346693,0.5477975,0
/content/gdrive/My Drive/Colab Notebooks/feature/16-2-rs.jpg,0.72273855,0.85014031,0.57830375,0.84549638,0.71947329,0.84821771,0.57771203,0.71947329,0.84821771,0.57771203,0.71947329,0.84821771,0.57771203,0.71879119,0.84781554,0.72551883,0.85177393,0.72551883,0.85177393,0.71947329,0.84821771,0.57771203,0.73716555,0.85858345,0.57304405,0.85601578,0.72680522,0.85252872,0.57560815,0.85141354,0.72680522,0.85252872,0.57560815,0.85141354,0.71947329,0.84821771,0.57771203,0
/content/gdrive/My Drive/Colab Notebooks/feature/16-3-rs.jpg,0.86095345,0.92787577,0.53537147,0.93030901,0.86095345,0.92787577,0.53537147,0.86095345,0.92787577,0.53537147,0.86095345,0.92787577,0.53537147,0.85648218,0.92546323,0.85648218,0.92546323,0.85648218,0.92546323,0.86095345,0.92787577,0.53537147,0.86319945,0.92908528,0.534714,0.93162393,0.85648218,0.92546323,0.53668639,0.92767916,0.85648218,0.92546323,0.53668639,0.92767916,0.86095345,0.92787577,0.53537147,0
/content/gdrive/My Drive/Colab Notebooks/feature/16-4-rs.jpg,0.70918645,0.84213208,0.58218277,0.8382643,0.70488982,0.83957716,0.58382643,0.70488982,0.83957716,0.58382643,0.70488982,0.83957716,0.58382643,0.70875419,0.8418754,0.71134254,0.84341125,0.71134254,0.84341125,0.70488982,0.83957716,0.58382643,0.70063641,0.83704027,0.58547009,0.83168968,0.70488982,0.83957716,0.58382643,0.83497699,0.70488982,0.83957716,0.58382643,0.83497699,0.70488982,0.83957716,0.58382643,0
/content/gdrive/My Drive/Colab Notebooks/feature/17-1-rs.jpg,0.90221147,0.94984813,0.52143327,0.95923734,0.91176261,0.95486261,0.51880342,0.91176261,0.95486261,0.51880342,0.91176261,0.95486261,0.51880342,0.90936445,0.95360602,0.90102536,0.94922355,0.90102536,0.94922355,0.91176261,0.95486261,0.51880342,0.90458888,0.95109877,0.52077581,0.96055227,0.90936445,0.95360602,0.51946088,0.96318212,0.90936445,0.95360602,0.51946088,0.96318212,0.91176261,0.95486261,0.51880342,1
